Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50,Trial 51,Trial 52,Trial 53,Trial 54,Trial 55,Trial 56,Trial 57,Trial 58,Trial 59,Trial 60,Trial 61,Trial 62,Trial 63,Trial 64,Trial 65,Trial 66,Trial 67,Trial 68,Trial 69,Trial 70,Trial 71,Trial 72,Trial 73,Trial 74,Trial 75,Trial 76,Trial 77,Trial 78,Trial 79,Trial 80,Trial 81,Trial 82,Trial 83,Trial 84,Trial 85,Trial 86,Trial 87,Trial 88,Trial 89,Trial 90,Trial 91,Trial 92,Trial 93,Trial 94,Trial 95,Trial 96,Trial 97,Trial 98,Trial 99
1.0,17.0,5.0,5.0,11.0,63.0,1.0,3.0,16.0,19.0,160.0,65.0,179.0,188.0,39.0,41.0,nan,nan,47.0,245.0,108.0,1.0,123.0,47.0,236.0,20.0,257.0,275.0,160.0,401.0,421.0,188.0,79.0,450.0,478.0,205.0,3.0,76.0,217.0,47.0,373.0,555.0,113.0,1.0,257.0,6.0,452.0,nan,467.0,100.0,136.0,20.0,141.0,650.0,21.0,538.0,150.0,161.0,729.0,607.0,748.0,65.0,756.0,649.0,188.0,117.0,49.0,31.0,184.0,752.0,38.0,54.0,43.0,82.0,55.0,106.0,153.0,849.0,35.0,891.0,867.0,163.0,917.0,71.0,169.0,29.0,982.0,21.0,73.0,22.0,50.0,31.0,35.0,906.0,62.0,239.0,103.0,33.0,134.0,5.0
3.0,18.0,7.0,39.0,9.0,14.0,2.0,4.0,44.0,55.0,16.0,66.0,71.0,20.0,30.0,77.0,nan,nan,8.0,246.0,109.0,2.0,124.0,328.0,237.0,62.0,70.0,29.0,161.0,402.0,183.0,189.0,35.0,312.0,479.0,484.0,5.0,515.0,218.0,370.0,110.0,556.0,4.0,1.0,90.0,54.0,453.0,nan,5.0,nan,27.0,103.0,34.0,651.0,22.0,539.0,113.0,162.0,730.0,175.0,179.0,124.0,757.0,650.0,50.0,29.0,50.0,123.0,54.0,753.0,41.0,55.0,70.0,231.0,56.0,104.0,154.0,850.0,13.0,892.0,198.0,317.0,918.0,26.0,205.0,171.0,983.0,22.0,295.0,23.0,51.0,32.0,36.0,231.0,63.0,327.0,335.0,34.0,135.0,200.0
1.0,19.0,5.0,7.0,9.0,12.0,3.0,5.0,45.0,56.0,17.0,24.0,72.0,28.0,75.0,209.0,nan,nan,48.0,247.0,110.0,3.0,125.0,329.0,339.0,63.0,71.0,30.0,162.0,168.0,184.0,190.0,14.0,93.0,201.0,485.0,6.0,93.0,219.0,536.0,374.0,390.0,3.0,1.0,258.0,13.0,454.0,nan,3.0,nan,28.0,639.0,35.0,143.0,23.0,151.0,151.0,115.0,169.0,176.0,749.0,287.0,633.0,116.0,51.0,67.0,51.0,124.0,55.0,754.0,42.0,56.0,71.0,232.0,83.0,65.0,nan,251.0,36.0,75.0,76.0,89.0,262.0,20.0,270.0,93.0,984.0,23.0,1001.0,24.0,52.0,17.0,37.0,88.0,64.0,911.0,251.0,72.0,136.0,nan
1.0,1.0,8.0,11.0,10.0,61.0,73.0,7.0,46.0,121.0,111.0,67.0,26.0,132.0,197.0,78.0,nan,nan,49.0,248.0,111.0,57.0,302.0,225.0,340.0,246.0,53.0,9.0,57.0,169.0,422.0,191.0,12.0,5.0,480.0,42.0,2.0,353.0,220.0,537.0,16.0,557.0,85.0,1.0,259.0,1.0,455.0,nan,623.0,nan,71.0,489.0,142.0,506.0,36.0,540.0,558.0,163.0,117.0,120.0,750.0,nan,634.0,127.0,666.0,293.0,133.0,706.0,137.0,204.0,39.0,53.0,72.0,794.0,807.0,829.0,nan,252.0,14.0,148.0,155.0,164.0,71.0,21.0,169.0,94.0,985.0,24.0,34.0,25.0,53.0,13.0,38.0,89.0,65.0,240.0,25.0,73.0,107.0,nan
2.0,20.0,9.0,7.0,10.0,62.0,74.0,3.0,47.0,122.0,18.0,68.0,73.0,21.0,76.0,42.0,nan,nan,50.0,249.0,112.0,6.0,126.0,226.0,341.0,64.0,149.0,55.0,58.0,170.0,423.0,192.0,10.0,67.0,41.0,334.0,7.0,94.0,221.0,538.0,24.0,237.0,49.0,2.0,260.0,14.0,608.0,nan,123.0,nan,476.0,490.0,82.0,507.0,37.0,152.0,682.0,164.0,284.0,286.0,618.0,nan,183.0,288.0,52.0,294.0,295.0,61.0,811.0,205.0,40.0,54.0,73.0,795.0,84.0,105.0,nan,253.0,15.0,149.0,156.0,nan,125.0,7.0,64.0,959.0,12.0,25.0,35.0,26.0,54.0,18.0,39.0,90.0,908.0,1063.0,305.0,924.0,108.0,nan
1.0,21.0,6.0,8.0,12.0,63.0,75.0,16.0,48.0,123.0,21.0,167.0,180.0,28.0,40.0,79.0,nan,nan,6.0,250.0,113.0,13.0,303.0,227.0,342.0,247.0,150.0,383.0,163.0,171.0,292.0,193.0,11.0,196.0,326.0,102.0,73.0,42.0,77.0,539.0,13.0,108.0,86.0,1.0,261.0,2.0,609.0,nan,40.0,nan,72.0,491.0,nan,83.0,38.0,42.0,683.0,584.0,285.0,743.0,165.0,nan,23.0,760.0,130.0,776.0,170.0,707.0,812.0,206.0,43.0,33.0,74.0,74.0,57.0,830.0,nan,254.0,16.0,37.0,36.0,nan,126.0,167.0,271.0,277.0,13.0,5.0,36.0,44.0,55.0,184.0,40.0,1048.0,1056.0,241.0,306.0,74.0,109.0,nan
2.0,4.0,nan,40.0,11.0,17.0,15.0,39.0,93.0,91.0,161.0,168.0,181.0,22.0,nan,80.0,nan,nan,7.0,7.0,114.0,7.0,304.0,26.0,238.0,248.0,151.0,65.0,164.0,172.0,68.0,428.0,66.0,197.0,327.0,6.0,210.0,95.0,222.0,540.0,82.0,238.0,nan,87.0,nan,11.0,610.0,nan,3.0,nan,73.0,492.0,nan,84.0,39.0,111.0,559.0,710.0,118.0,164.0,180.0,nan,51.0,54.0,66.0,777.0,171.0,172.0,725.0,207.0,44.0,34.0,72.0,76.0,86.0,106.0,nan,859.0,17.0,150.0,162.0,nan,127.0,201.0,170.0,178.0,14.0,77.0,37.0,1009.0,208.0,85.0,41.0,232.0,114.0,242.0,307.0,75.0,137.0,nan
1.0,22.0,nan,8.0,12.0,18.0,22.0,40.0,94.0,124.0,162.0,69.0,24.0,36.0,nan,81.0,nan,nan,37.0,8.0,115.0,8.0,305.0,228.0,17.0,65.0,152.0,276.0,388.0,173.0,32.0,429.0,194.0,451.0,100.0,15.0,211.0,43.0,223.0,541.0,547.0,239.0,nan,249.0,nan,120.0,611.0,nan,1.0,nan,74.0,128.0,nan,508.0,40.0,669.0,560.0,585.0,731.0,104.0,181.0,nan,52.0,761.0,nan,778.0,296.0,173.0,726.0,755.0,41.0,35.0,75.0,77.0,826.0,66.0,nan,860.0,18.0,38.0,316.0,nan,16.0,167.0,171.0,179.0,15.0,6.0,38.0,45.0,10.0,299.0,42.0,1049.0,66.0,328.0,308.0,123.0,138.0,nan
2.0,5.0,nan,nan,13.0,19.0,23.0,41.0,95.0,92.0,163.0,70.0,nan,16.0,nan,82.0,nan,nan,98.0,251.0,116.0,43.0,306.0,27.0,28.0,249.0,153.0,277.0,389.0,67.0,33.0,430.0,195.0,452.0,101.0,7.0,490.0,44.0,224.0,231.0,548.0,109.0,nan,250.0,nan,12.0,122.0,nan,64.0,nan,75.0,493.0,nan,509.0,45.0,670.0,561.0,586.0,732.0,608.0,nan,nan,109.0,651.0,nan,779.0,297.0,708.0,727.0,188.0,42.0,36.0,73.0,75.0,243.0,107.0,nan,861.0,57.0,39.0,868.0,nan,17.0,263.0,172.0,180.0,16.0,7.0,39.0,46.0,209.0,1026.0,43.0,1050.0,115.0,912.0,93.0,76.0,110.0,nan
3.0,6.0,nan,nan,14.0,20.0,24.0,42.0,96.0,125.0,164.0,nan,nan,37.0,nan,83.0,nan,nan,38.0,252.0,266.0,285.0,307.0,229.0,18.0,250.0,154.0,278.0,83.0,174.0,nan,294.0,nan,21.0,70.0,8.0,491.0,45.0,225.0,232.0,549.0,110.0,nan,251.0,nan,1.0,262.0,nan,468.0,nan,19.0,494.0,nan,44.0,41.0,541.0,158.0,587.0,733.0,50.0,nan,nan,40.0,55.0,nan,192.0,298.0,709.0,728.0,756.0,23.0,57.0,44.0,76.0,58.0,108.0,nan,862.0,19.0,20.0,199.0,nan,18.0,264.0,173.0,181.0,16.0,26.0,3.0,47.0,11.0,1027.0,19.0,103.0,67.0,243.0,228.0,77.0,139.0,nan
